                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4795,                 1.2008,                 1.0895,                0.87332,                0.95393,                0.92658,                0.52606,                  1.575,                 1.5375,                 1.0252,             0.00066609,             0.00066609,             0.00066609
                      1,                 1.1881,                0.84591,                0.98296,                0.90222,                0.97045,                0.94802,                0.61981,                 1.3397,                 1.4819,                0.95133,              0.0013226,              0.0013226,              0.0013226
                      2,                 1.1126,                0.74608,                0.95881,                0.90237,                0.96004,                0.95601,                0.63543,                 1.2436,                 1.1827,                 0.9162,               0.001969,               0.001969,               0.001969
                      3,                  1.068,                0.69286,                0.94717,                0.90697,                0.96863,                0.96819,                0.70983,                 1.0411,                 1.3629,                0.87637,              0.0019543,              0.0019543,              0.0019543
                      4,                0.99392,                0.67306,                0.92495,                0.89942,                0.97683,                0.96428,                0.69612,                 1.0719,                 1.0825,                0.87569,              0.0019543,              0.0019543,              0.0019543
                      5,                0.96908,                0.63845,                0.91764,                0.92437,                0.96172,                0.97307,                0.71904,                 1.0914,                 1.3123,                 0.8784,              0.0019391,              0.0019391,              0.0019391
                      6,                0.91859,                0.59882,                0.90232,                0.93201,                0.96845,                0.98154,                0.76656,                0.92635,                 1.0173,                0.83951,              0.0019238,              0.0019238,              0.0019238
                      7,                0.88713,                 0.5789,                0.89495,                0.91705,                0.96635,                0.97932,                0.75197,                0.96374,                0.91445,                 0.8542,              0.0019086,              0.0019086,              0.0019086
                      8,                0.87027,                0.55619,                0.88976,                0.94334,                0.95838,                0.97853,                 0.7713,                0.89213,                0.97992,                0.82821,              0.0018934,              0.0018934,              0.0018934
                      9,                0.87355,                0.57644,                0.89187,                0.93758,                   0.97,                0.98181,                0.76894,                0.93843,                 1.0042,                0.84012,              0.0018782,              0.0018782,              0.0018782
                     10,                0.82584,                 0.5287,                0.87996,                0.96201,                 0.9656,                0.98753,                0.79331,                0.89882,                0.90996,                0.83029,              0.0018629,              0.0018629,              0.0018629
                     11,                0.81726,                0.52922,                0.87881,                 0.9389,                0.96577,                0.98416,                0.81137,                0.81061,                 1.1362,                0.81374,              0.0018477,              0.0018477,              0.0018477
                     12,                0.80387,                0.50732,                0.87241,                  0.951,                0.96734,                0.98624,                0.78191,                0.87759,                0.72405,                0.82639,              0.0018325,              0.0018325,              0.0018325
                     13,                0.80106,                0.50445,                0.87235,                0.96892,                0.96732,                0.99004,                0.80224,                0.84617,                0.60148,                0.82148,              0.0018172,              0.0018172,              0.0018172
                     14,                0.79153,                0.48845,                0.87069,                0.95894,                0.96621,                 0.9898,                0.81209,                 0.8103,                0.55076,                0.81783,               0.001802,               0.001802,               0.001802
                     15,                0.77915,                0.50664,                0.86679,                0.95911,                0.97225,                0.98893,                0.80572,                0.83731,                0.79751,                0.81625,              0.0017868,              0.0017868,              0.0017868
                     16,                0.76374,                0.46083,                0.86678,                0.96452,                0.97507,                0.99011,                0.82155,                0.78628,                0.59437,                0.81129,              0.0017715,              0.0017715,              0.0017715
                     17,                0.74397,                0.43005,                0.85997,                0.97843,                0.97135,                0.99142,                 0.8261,                0.78691,                0.52751,                 0.8074,              0.0017563,              0.0017563,              0.0017563
                     18,                0.75455,                0.46175,                0.86014,                0.96678,                0.97406,                0.99033,                0.84866,                0.72625,                0.55135,                0.79975,              0.0017411,              0.0017411,              0.0017411
                     19,                0.73012,                0.44727,                0.85743,                0.96587,                0.97408,                0.99027,                0.81426,                0.82629,                0.59425,                0.81454,              0.0017258,              0.0017258,              0.0017258
                     20,                0.72411,                 0.4189,                0.85541,                0.98369,                0.97987,                0.99291,                0.83153,                0.78243,                 0.4615,                0.80789,              0.0017106,              0.0017106,              0.0017106
                     21,                0.70135,                0.41548,                0.85085,                0.98133,                 0.9802,                0.99316,                0.84704,                0.75226,                0.47536,                0.80172,              0.0016954,              0.0016954,              0.0016954
                     22,                0.69011,                0.39882,                0.84798,                0.97463,                0.97556,                0.99196,                0.84629,                0.74775,                0.59209,                0.80696,              0.0016802,              0.0016802,              0.0016802
                     23,                0.69446,                0.40007,                0.84887,                0.96229,                0.97814,                 0.9865,                0.85051,                0.72622,                0.74921,                0.80241,              0.0016649,              0.0016649,              0.0016649
                     24,                0.68352,                0.40721,                0.84788,                0.97803,                0.96686,                0.99102,                 0.8615,                0.66094,                0.60405,                0.78948,              0.0016497,              0.0016497,              0.0016497
                     25,                0.66869,                0.37958,                0.84373,                 0.9816,                0.98024,                0.99294,                0.85226,                0.74569,                0.43731,                 0.7977,              0.0016345,              0.0016345,              0.0016345
                     26,                0.66962,                0.39032,                0.84381,                0.97782,                0.97417,                0.99241,                0.86644,                0.69174,                0.59748,                0.79084,              0.0016192,              0.0016192,              0.0016192
